"Restaurants_name","Restaurants_url","Restaurants_Adress","Restaurants_Consumption","Restaurants_Favorites"
"美味廚 Megan's Kitchen","https://www.openrice.com/zh/hongkong/r-%E7%BE%8E%E5%91%B3%E5%BB%9A-%E7%81%A3%E4%BB%94-%E6%B8%AF%E5%BC%8F-%E7%81%AB%E9%8D%8B-r15235/hotpot","灣仔灣仔道165至171號樂基中心5樓","$201-400","7.8K"
"四季文昌 Coco Kitchen","https://www.openrice.com/zh/hongkong/r-%E5%9B%9B%E5%AD%A3%E6%96%87%E6%98%8C-%E6%97%BA%E8%A7%92-%E6%B8%AF%E5%BC%8F-%E7%81%AB%E9%8D%8B-r493641/hotpot","旺角荔枝角道33號百匯軒地下及1樓","$201-400","12.3K"
"巧得鍋 How Awesome","https://www.openrice.com/zh/hongkong/r-%E5%B7%A7%E5%BE%97%E9%8D%8B-%E8%A7%80%E5%A1%98-%E6%B8%AF%E5%BC%8F-%E9%9B%9E%E7%85%B2-r525912/hotpot","觀塘成業街15-17號成運工業大廈1樓12-14舖","$201-400","14.6K"
"大一海鮮火鍋料理 Daiichi Hotpot","https://www.openrice.com/zh/hongkong/r-%E5%A4%A7%E4%B8%80%E6%B5%B7%E9%AE%AE%E7%81%AB%E9%8D%8B%E6%96%99%E7%90%86-%E5%B0%96%E6%B2%99%E5%92%80-%E6%B8%AF%E5%BC%8F-%E7%81%AB%E9%8D%8B-r613590/hotpot","尖沙咀金馬倫道38-40號金龍中心3樓","$201-400","579"
"大紅袍火鍋料理 Da Hong Pao hotpot","https://www.openrice.com/zh/hongkong/r-%E5%A4%A7%E7%B4%85%E8%A2%8D%E7%81%AB%E9%8D%8B%E6%96%99%E7%90%86-%E8%8D%83%E7%81%A3-%E6%B8%AF%E5%BC%8F-%E7%81%AB%E9%8D%8B-r551951/hotpot","荃灣川龍街118號百悅坊16樓","$201-400","5.6K"
"火鍋煮場","https://www.openrice.com/zh/hongkong/r-%E7%81%AB%E9%8D%8B%E7%85%AE%E5%A0%B4-%E6%B7%B1%E6%B0%B4%E5%9F%97-%E7%B2%B5%E8%8F%9C-%E5%BB%A3%E6%9D%B1-%E7%81%AB%E9%8D%8B-r526194/hotpot","深水埗福榮街14號地舖","$201-400","7.2K"
"滾得棧 Hot in A Pot","https://www.openrice.com/zh/hongkong/r-%E6%BB%BE%E5%BE%97%E6%A3%A7-%E6%B2%B9%E9%BA%BB%E5%9C%B0-%E6%B8%AF%E5%BC%8F-%E7%81%AB%E9%8D%8B-r581288/hotpot","油麻地砵蘭街39-41號順好樓地下A-B號舖","$201-400","3.6K"
"米走雞 Running Chicken","https://www.openrice.com/zh/hongkong/r-%E7%B1%B3%E8%B5%B0%E9%9B%9E-%E6%97%BA%E8%A7%92-%E6%B8%AF%E5%BC%8F-%E9%9B%9E%E7%85%B2-r476804/hotpot","旺角彌敦道761號太子藍馬之城2樓","$201-400","23.9K"
"8鍋臭臭鍋 8Pots HK","https://www.openrice.com/zh/hongkong/r-8%E9%8D%8B%E8%87%AD%E8%87%AD%E9%8D%8B-%E5%B0%96%E6%B2%99%E5%92%80-%E5%8F%B0%E7%81%A3%E8%8F%9C-%E7%81%AB%E9%8D%8B-r500548/hotpot","尖沙咀金巴利道77號地舖","$101-200","24K"
"吞POT 雞煲火鍋.住家菜 Lazy Pot","https://www.openrice.com/zh/hongkong/r-%E5%90%9Epot-%E9%9B%9E%E7%85%B2%E7%81%AB%E9%8D%8B-%E4%BD%8F%E5%AE%B6%E8%8F%9C-%E6%97%BA%E8%A7%92-%E6%B8%AF%E5%BC%8F-%E9%9B%9E%E7%85%B2-r490706/hotpot","旺角彌敦道726號23樓","$101-200","24.5K"
"18樓雞煲火鍋專門店","https://www.openrice.com/zh/hongkong/r-18%E6%A8%93%E9%9B%9E%E7%85%B2%E7%81%AB%E9%8D%8B%E5%B0%88%E9%96%80%E5%BA%97-%E8%8D%83%E7%81%A3-%E7%B2%B5%E8%8F%9C-%E5%BB%A3%E6%9D%B1-%E9%9B%9E%E7%85%B2-r527770/hotpot","荃灣眾安街55號大鴻輝(荃灣)中心18樓","$101-200","13.6K"
